32,Charlotte Sithole,Female,29,New York,USA,40.684016,-73.991219,Loyal,2021-07-01
33,Caleb Ntuli,Male,29,London,UK,51.556320,-0.152340,Dormant,2024-03-01
34,Mason Anderson,Male,46,Kimberley,South Africa,-28.754868,24.743367,New Customer,2021-06-17
35,Jordan Taylor,Male,49,Soweto,South Africa,-26.307654,27.869939,Occasional,2022-03-16
36,Marcus MacKenzie,Male,34,Nelspruit,South Africa,-25.457275,30.970750,Occasional,2021-04-08
37,Jackson Anderson,Male,51,Leeds,UK,53.775850,-1.522388,At Risk,2024-04-04
38,Jack Martin,Male,21,Denver,USA,39.694197,-105.011015,At Risk,2023-01-19
39,Kayla Mitchell,Female,25,East London,South Africa,-33.051071,27.892106,At Risk,2022-08-02
40,Lesedi Sithole,Male,27,Newcastle,UK,55.014415,-1.665994,At Risk,2024-04-18
41,Ethan Williams,Male,19,Pretoria,South Africa,-25.763544,28.204892,Champion,2021-07-04
42,Nomsa Fraser,Female,64,San Antonio,USA,29.429935,-98.506015,Dormant,2023-06-23
43,Lindiwe Roberts,Female,51,Benoni,South Africa,-26.234277,28.295706,Dormant,2021-05-10
44,Dylan Thompson,Male,60,New York,USA,40.722992,-74.029808,Occasional,2024-02-24
45,Samuel Ngcobo,Male,63,Miami,USA,25.804648,-80.209710,Loyal,2021-05-13
46,Mason Davies,Male,35,San Diego,USA,32.699549,-117.151564,High Value,2021-01-19
47,Mandla Jackson,Male,30,Austin,USA,30.282968,-97.735227,Champion,2021-06-07
48,Lungelo Johnson,Male,45,Adelaide,Australia,-34.960184,138.564184,Occasional,2023-03-23
49,Thandeka Wood,Female,29,Canberra,Australia,-35.267719,149.087769,Dormant,2023-05-28
50,Daniel Mthembu,Male,20,Newcastle,UK,54.935284,-1.620454,Loyal,2023-10-16
51,Mason Wood,Male,46,Port Elizabeth,South Africa,-33.947348,25.598145,Loyal,2022-06-17
52,Mason Sithole,Male,57,Dallas,USA,32.733757,-96.791421,Occasional,2022-10-01
53,Zoe Brown,Female,23,Cape Town,South Africa,-33.932324,18.384766,Champion,2022-02-25
54,Lucas Patel,Male,25,Port Elizabeth,South Africa,-33.939993,25.569523,Dormant,2022-02-20
55,Kabelo Jones,Male,31,Bloemfontein,South Africa,-29.084806,26.153901,At Risk,2024-09-20
56,Madison Nelson,Female,26,Bloemfontein,South Africa,-29.065624,26.164931,High Value,2022-04-26
57,Emma Naidoo,Female,56,Chicago,USA,41.900949,-87.595305,Dormant,2023-01-01
58,Busisiwe Ntuli,Female,45,Nelspruit,South Africa,-25.492544,30.987661,At Risk,2023-03-18
59,Nokwanda Smith,Female,36,Benoni,South Africa,-26.203284,28.288866,Loyal,2021-03-21
60,Liam Anderson,Male,45,Darwin,Australia,-12.475453,130.854812,Occasional,2024-05-04
61,Lesedi Mkhize,Male,22,Cape Town,South Africa,-33.882994,18.410873,At Risk,2022-10-04
62,Emma Jackson,Female,26,Benoni,South Africa,-26.139441,28.281965,High Value,2021-09-17
63,Lerato Davies,Female,44,Chicago,USA,41.854612,-87.636379,New Customer,2021-06-01
64,Brianna Shabalala,Female,59,Benoni,South Africa,-26.207448,28.346949,Champion,2022-08-26
65,Lesedi Jones,Male,26,Ottawa,Canada,45.449078,-75.693640,Champion,2021-01-27
66,Oliver Garcia,Male,30,Nottingham,UK,52.950616,-1.144551,Champion,2022-12-02
67,Musa MacDonald,Male,45,Durban,South Africa,-29.811669,31.063476,Dormant,2024-05-27
68,Jack Hall,Male,21,Leicester,UK,52.611817,-1.150455,At Risk,2024-03-10
69,Busisiwe Fraser,Female,20,Cairns,Australia,-16.886255,145.781727,Loyal,2024-11-09
70,Jacob Hughes,Male,48,Canberra,Australia,-35.260191,149.152037,At Risk,2023-08-01
71,Noah Murray,Male,34,Benoni,South Africa,-26.170167,28.364476,Occasional,2021-03-17
72,Lucas Hughes,Male,38,San Antonio,USA,29.390235,-98.517086,Occasional,2022-01-05
73,Hazel Lewis,Female,65,Gold Coast,Australia,-27.993548,153.367734,Dormant,2022-12-20
74,Mason Thomas,Male,53,Manchester,UK,53.510357,-2.245891,Dormant,2021-12-13
75,Aria Hlongwane,Female,38,Houston,USA,29.780804,-95.410851,High Value,2022-07-06
76,Cooper Sithole,Male,39,Johannesburg,South Africa,-26.181624,28.005916,New Customer,2024-04-24
77,Ella Adams,Female,50,Durban,South Africa,-29.843459,31.071049,New Customer,2024-06-09
78,Siyanda Shabalala,Male,54,Seattle,USA,47.569781,-122.333752,New Customer,2024-03-15
79,Sofia Hlongwane,Female,46,Nottingham,UK,52.914613,-1.204754,High Value,2024-04-04
80,Ava Johnson,Female,42,Philadelphia,USA,39.985435,-75.142290,Loyal,2021-09-14
81,Sandile Ntuli,Male,55,Manchester,UK,53.526267,-2.215460,At Risk,2021-06-23
82,George Singh,Male,20,Kimberley,South Africa,-28.678779,24.721236,Occasional,2021-03-15
83,Emma Carter,Female,41,Denver,USA,39.722965,-105.011073,High Value,2024-02-06
84,Dylan Thomas,Male,36,Gold Coast,Australia,-28.032685,153.420757,New Customer,2023-11-10
85,Isabella Johnson,Female,48,Nelspruit,South Africa,-25.464015,30.953497,Champion,2024-12-12
86,Marcus Perez,Male,40,Philadelphia,USA,39.970011,-75.119245,High Value,2023-07-06
87,Henry Hlongwane,Male,23,Polokwane,South Africa,-23.947294,29.427056,Loyal,2021-06-13
88,Samantha Davies,Female,21,Darwin,Australia,-12.488282,130.851821,Loyal,2021-06-11
89,William Roberts,Male,49,Manchester,UK,53.447747,-2.221585,Occasional,2021-11-02
90,Jack Wood,Male,40,New York,USA,40.676489,-73.990907,Dormant,2023-04-11
91,Liam Davies,Male,34,Los Angeles,USA,34.084687,-118.285308,Dormant,2022-01-21
92,Tebogo Masondo,Male,42,San Jose,USA,37.372014,-121.848832,Loyal,2022-07-27
93,Emma White,Female,30,Houston,USA,29.799268,-95.391662,Champion,2022-06-15
94,Bongani Smith,Male,63,Manchester,UK,53.433931,-2.272810,Occasional,2024-01-03
95,Brandon Williams,Male,33,Cape Town,South Africa,-33.968014,18.375999,Occasional,2023-06-25
96,Lauren Thompson,Female,42,Edinburgh,UK,55.921270,-3.218706,New Customer,2023-02-12
97,Henry Thomson,Male,37,Leicester,UK,52.608542,-1.169748,Dormant,2023-12-21
98,Connor Khumalo,Male,35,Canberra,Australia,-35.256394,149.092380,Loyal,2024-02-26
99,Caleb Ntuli,Male,28,Newcastle,UK,54.936042,-1.576820,Occasional,2023-02-26
100,Ryan Zwane,Male,52,Kimberley,South Africa,-28.734132,24.760726,Dormant,2023-12-19
101,Amelia Thompson,Female,26,Coventry,UK,52.454213,-1.515973,Occasional,2024-04-26
102,Thabo Moore,Male,59,Kimberley,South Africa,-28.754650,24.787367,Loyal,2024-11-10
103,Samuel Phillips,Male,29,Belfast,UK,54.637828,-5.974875,Dormant,2022-09-24
104,Nozipho Ntuli,Female,27,Liverpool,UK,53.393300,-2.956431,Loyal,2023-06-22
105,Ryan Robertson,Male,35,Kimberley,South Africa,-28.727486,24.710062,Occasional,2024-12-19
106,Liam Lewis,Male,59,Soweto,South Africa,-26.227721,27.830305,Dormant,2023-01-17
107,Emma Williams,Female,41,Benoni,South Africa,-26.199712,28.281746,Dormant,2023-09-03
108,Alexander Kunene,Male,54,Bristol,UK,51.441702,-2.622292,Champion,2021-08-04
109,Victoria Robertson,Female,50,Winnipeg,Canada,49.922784,-97.100670,High Value,2024-01-20
110,Owen Brown,Male,55,Leeds,UK,53.785275,-1.588819,High Value,2021-11-04
111,Yusuf Clarke,Male,54,Pretoria,South Africa,-25.741278,28.258259,At Risk,2022-07-27
112,Priya Wilson,Female,29,Cape Town,South Africa,-33.966540,18.392514,New Customer,2022-04-19
113,Sofia Ndlovu,Female,23,Ottawa,Canada,45.449987,-75.732776,Occasional,2021-02-13
114,Jacob Walker,Male,48,Nelspruit,South Africa,-25.445143,30.953323,New Customer,2023-12-06
115,Nandi Sithole,Female,27,San Diego,USA,32.690963,-117.173722,New Customer,2023-02-20
116,Dylan Masondo,Male,51,London,UK,51.501625,-0.090101,Dormant,2021-11-07
117,Aiden Davies,Male,58,New York,USA,40.681555,-74.048432,Dormant,2024-03-05
118,Tebogo Phillips,Male,59,Gold Coast,Australia,-27.997018,153.408487,Dormant,2024-01-25
119,Cooper Jones,Male,43,Montreal,Canada,45.452712,-73.585771,At Risk,2022-05-12
120,Yusuf Mahlangu,Male,36,San Jose,USA,37.366991,-121.843846,High Value,2022-01-03
121,William Scott,Male,50,Hobart,Australia,-42.928485,147.357969,Champion,2024-03-06
122,Jennifer Baker,Female,20,Port Elizabeth,South Africa,-33.953627,25.609130,Dormant,2024-01-07
123,Ethan Mnguni,Male,27,Rustenburg,South Africa,-25.639538,27.225322,New Customer,2021-08-23
124,Liam Mnguni,Male,27,Seattle,USA,47.578789,-122.292427,High Value,2022-11-05
125,Ravi Lewis,Male,40,Houston,USA,29.748633,-95.363159,Occasional,2023-02-17
126,Mia Anderson,Female,41,Sandton,South Africa,-26.144805,28.007801,Occasional,2022-07-17
127,Mpho Zwane,Male,45,Canberra,Australia,-35.258997,149.164459,Occasional,2022-12-03
128,Brittany Roberts,Female,27,Sydney,Australia,-33.864244,151.199394,At Risk,2023-05-05
129,Yusuf Thomson,Male,21,Nelspruit,South Africa,-25.516083,31.006812,Dormant,2021-05-17
130,Connor Molefe,Male,27,Newcastle,UK,55.024809,-1.599107,At Risk,2023-07-03
131,Lucas Fraser,Male,29,Atlanta,USA,33.753229,-84.411060,Occasional,2024-11-04
132,Tyler Thomas,Male,20,Pretoria,South Africa,-25.763462,28.224060,Loyal,2024-12-15
133,Caleb Ngcobo,Male,56,Seattle,USA,47.635032,-122.295374,Champion,2021-06-13
134,Aisha Hall,Female,37,Belfast,UK,54.560195,-5.974941,At Risk,2023-10-28
135,Jayden Sithole,Male,63,Chicago,USA,41.849071,-87.621372,High Value,2021-06-01
136,Layla Price,Female,63,Dallas,USA,32.749064,-96.804973,High Value,2023-11-08
137,Mpho Miller,Male,18,Birmingham,UK,52.497095,-1.879812,Occasional,2024-03-08
138,Yusuf Nelson,Male,46,Winnipeg,Canada,49.857621,-97.148158,New Customer,2023-07-15
139,Phindile Masondo,Female,56,Leeds,UK,53.823912,-1.529254,Dormant,2022-06-07
140,Anisha Thompson,Female,51,Soweto,South Africa,-26.287212,27.829112,Loyal,2023-02-10
141,Benjamin Harris,Male,61,Nottingham,UK,52.949670,-1.123915,Champion,2024-03-13
142,Connor Evans,Male,47,Johannesburg,South Africa,-26.197878,28.055669,High Value,2022-01-04
143,Tebogo Masondo,Male,51,Port Elizabeth,South Africa,-33.986657,25.578110,At Risk,2024-02-04
144,Owen Govender,Male,31,Leicester,UK,52.649771,-1.175237,Dormant,2022-12-12
145,Benjamin Reddy,Male,19,Phoenix,USA,33.409888,-112.104583,At Risk,2023-07-21
146,Kabelo Clarke,Male,42,Nelspruit,South Africa,-25.515852,30.960634,Champion,2023-10-01
147,Thandeka Carter,Female,26,East London,South Africa,-33.018705,27.868176,Loyal,2024-08-13
148,Layla Roberts,Female,45,Polokwane,South Africa,-23.928433,29.504777,Dormant,2022-08-28
149,Brittany Thompson,Female,52,New York,USA,40.722462,-74.025081,Champion,2021-10-01
150,Hunter Turner,Male,37,Leicester,UK,52.625299,-1.136038,Loyal,2024-02-14
151,Madison Ntuli,Female,60,Polokwane,South Africa,-23.954421,29.444933,Champion,2021-07-06
152,Ethan Taylor,Male,22,Atlanta,USA,33.788951,-84.373859,High Value,2023-10-04
153,Amelia Wilson,Female,39,Montreal,Canada,45.487538,-73.556776,Champion,2024-08-19
154,Owen Zulu,Male,25,Port Elizabeth,South Africa,-33.930297,25.626744,Occasional,2024-07-07
155,Ntombifuthi Jones,Female,28,San Jose,USA,37.357744,-121.858151,Champion,2021-09-20
156,Olivia Davis,Female,27,Phoenix,USA,33.415740,-112.086591,Champion,2022-12-22
157,Emma Singh,Female,61,Denver,USA,39.717158,-104.966049,Dormant,2021-03-18
158,Jackson Hall,Male,63,San Antonio,USA,29.429956,-98.451987,Dormant,2024-07-13
159,Sandile Mkhize,Male,36,San Antonio,USA,29.425898,-98.474923,Loyal,2023-07-27
160,Lungelo Walker,Male,32,Leicester,UK,52.610745,-1.150443,Dormant,2024-09-14
161,Mason Mnguni,Male,37,Soweto,South Africa,-26.313619,27.874211,Champion,2023-01-11
162,Ravi Jackson,Male,30,New York,USA,40.740079,-73.981826,New Customer,2021-12-07
163,Phindile Davies,Female,59,Dallas,USA,32.768399,-96.764406,High Value,2022-03-26
164,Samuel Masondo,Male,61,Adelaide,Australia,-34.968812,138.574822,At Risk,2021-09-27
165,Lachlan Davies,Male,65,Hobart,Australia,-42.847267,147.330296,Loyal,2021-04-23
166,Harper Turner,Female,31,Sheffield,UK,53.376581,-1.511395,Loyal,2023-06-01
167,Layla Adams,Female,32,Edinburgh,UK,55.989053,-3.194307,New Customer,2021-05-27
168,Mandla Taylor,Male,22,Cardiff,UK,51.445688,-3.158917,Dormant,2023-01-11
169,Musa Zwane,Male,33,Johannesburg,South Africa,-26.227249,28.057280,High Value,2024-03-14
170,Destiny Hall,Female,62,Leicester,UK,52.615804,-1.182415,Occasional,2021-04-25
171,Layla Taylor,Female,64,Belfast,UK,54.612457,-5.978433,High Value,2024-07-01
172,Khanyisile Davis,Female,45,Phoenix,USA,33.440473,-112.122532,Occasional,2023-06-20
173,Chloe Mkhize,Female,30,San Diego,USA,32.672078,-117.167578,New Customer,2022-09-12
174,Emma Reddy,Female,64,Johannesburg,South Africa,-26.162080,28.071970,At Risk,2022-07-04
175,Ella Carter,Female,34,Soweto,South Africa,-26.291454,27.823294,Occasional,2023-10-09
176,Ayanda Garcia,Female,55,Nottingham,UK,52.934753,-1.168573,Champion,2022-12-24
177,Karabo Masondo,Male,28,Johannesburg,South Africa,-26.206005,28.048986,Dormant,2023-11-25
178,Leo Zulu,Male,38,Dallas,USA,32.825915,-96.758006,Occasional,2022-05-23
179,Bongani Price,Male,46,Sydney,Australia,-33.899280,151.209491,Champion,2022-02-12
180,Yusuf Nkosi,Male,44,Cape Town,South Africa,-33.940664,18.412822,New Customer,2021-05-04
181,Connor Ndlovu,Male,49,Calgary,Canada,51.078691,-114.103105,Dormant,2021-05-17
182,Marcus Murray,Male,58,Seattle,USA,47.618249,-122.331486,Champion,2021-10-27
183,Alexis Singh,Female,40,Seattle,USA,47.627548,-122.363254,Champion,2023-02-11
184,William Perez,Male,60,Miami,USA,25.741687,-80.183862,High Value,2021-03-08
185,Elijah Davies,Male,61,Leeds,UK,53.806909,-1.534241,Dormant,2021-11-07
186,Emma Clarke,Female,50,Adelaide,Australia,-34.929029,138.576585,New Customer,2023-11-28
187,Madison Molefe,Female,34,Canberra,Australia,-35.326064,149.107231,Occasional,2024-01-25
188,Liam Sithole,Male,44,Leicester,UK,52.635478,-1.103815,At Risk,2024-07-09
189,Nandi Patel,Female,27,Hamilton,Canada,43.243659,-79.874357,Dormant,2022-08-28
190,Marcus Jones,Male,46,Kimberley,South Africa,-28.772101,24.759913,New Customer,2024-09-19
191,Ayanda Wilson,Female,29,Kimberley,South Africa,-28.722873,24.714350,At Risk,2023-04-01
192,Siyanda Jackson,Male,33,Ottawa,Canada,45.468960,-75.702897,Dormant,2022-10-04
193,Cooper Thomas,Male,38,Johannesburg,South Africa,-26.211599,28.019808,At Risk,2023-04-01
194,Lauren Mnguni,Female,49,Manchester,UK,53.520884,-2.242749,Loyal,2022-02-13
195,Zanele Reddy,Female,61,Quebec City,Canada,46.771593,-71.211327,Occasional,2023-09-28
196,Amelia Hlongwane,Female,55,Winnipeg,Canada,49.881536,-97.145854,Champion,2022-08-25
197,Nathan Kunene,Male,56,Port Elizabeth,South Africa,-33.925025,25.599566,High Value,2022-05-08
198,Hazel Scott,Female,20,Calgary,Canada,51.006006,-114.046399,High Value,2022-07-26
199,Ryan Martinez,Male,44,Bristol,UK,51.496505,-2.612062,High Value,2021-09-07
200,Zanele Cele,Female,28,Kimberley,South Africa,-28.757098,24.726334,High Value,2023-12-20
201,Mia Shabalala,Female,53,Polokwane,South Africa,-23.857879,29.484158,High Value,2022-10-06
202,Luna Nkosi,Female,60,Dallas,USA,32.805502,-96.778907,Loyal,2024-05-24
203,Aisha Walker,Female,44,Rustenburg,South Africa,-25.697707,27.265877,Dormant,2022-01-27
204,Harry Ndlovu,Male,46,Canberra,Australia,-35.243916,149.124647,Champion,2021-02-04
205,Aiden Evans,Male,57,Phoenix,USA,33.487107,-112.046562,Occasional,2023-07-18
206,Mia Thompson,Female,37,Sydney,Australia,-33.913572,151.215380,High Value,2024-10-27
207,Connor Murphy,Male,55,Cairns,Australia,-16.955158,145.799410,Dormant,2021-04-23
208,Evelyn Zulu,Female,54,Belfast,UK,54.583086,-5.932447,Occasional,2022-01-05
209,Nhlanhla Taylor,Male,56,Leicester,UK,52.624321,-1.119122,Dormant,2023-06-17
210,Carter Robertson,Male,20,Edmonton,Canada,53.514668,-113.536617,High Value,2022-11-06
211,Cooper Wilson,Male,58,Phoenix,USA,33.438175,-112.053835,Champion,2022-11-24
212,Mason Murray,Male,51,Seattle,USA,47.651520,-122.363349,Occasional,2022-02-17
213,Nozipho Hall,Female,63,East London,South Africa,-33.049261,27.923994,Loyal,2024-09-26
214,Ryan White,Male,24,Bloemfontein,South Africa,-29.104070,26.192386,Champion,2022-02-21
215,Emma Nkosi,Female,45,Cape Town,South Africa,-33.888892,18.430725,Dormant,2021-08-01
216,Mason Mitchell,Male,54,East London,South Africa,-32.999611,27.922834,New Customer,2022-05-08
217,Bongani Smith,Male,41,Cardiff,UK,51.445131,-3.132463,New Customer,2024-04-11
218,Owen Govender,Male,22,Atlanta,USA,33.779545,-84.369389,High Value,2021-05-27
219,Karabo Taylor,Male,32,Edmonton,Canada,53.548585,-113.482688,Loyal,2023-09-28
220,Benjamin Mthembu,Male,59,Calgary,Canada,51.041006,-114.066027,Occasional,2024-11-01
221,Ethan Thomas,Male,28,Polokwane,South Africa,-23.875454,29.476613,Champion,2023-10-09
222,Harry Govender,Male,58,Cardiff,UK,51.508494,-3.152135,Loyal,2024-04-15
223,Lucas Davis,Male,55,Soweto,South Africa,-26.242312,27.813972,At Risk,2024-09-11
224,William Moore,Male,46,Kimberley,South Africa,-28.759382,24.776516,New Customer,2024-08-07
225,Connor Ntuli,Male,32,Bloemfontein,South Africa,-29.081512,26.127374,Loyal,2024-08-18
226,James Wilson,Male,57,Edmonton,Canada,53.574534,-113.532423,High Value,2021-03-21
227,Sophia Jackson,Female,18,Hamilton,Canada,43.216469,-79.870436,At Risk,2021-09-03
228,Mia Nkosi,Female,55,Ottawa,Canada,45.421775,-75.661906,Champion,2023-11-25
229,Bongiwe Walker,Female,36,East London,South Africa,-33.063423,27.955544,Loyal,2022-12-26
230,Harper Davis,Female,19,Canberra,Australia,-35.330142,149.158470,Dormant,2024-03-01
231,Victoria Stewart,Female,49,Winnipeg,Canada,49.932390,-97.186629,New Customer,2023-12-07
232,Sipho Green,Male,38,Johannesburg,South Africa,-26.173984,28.092810,High Value,2023-04-07
233,Aria Pillay,Female,48,Brisbane,Australia,-27.424408,153.043498,Dormant,2023-10-20
234,Olivia Baker,Female,51,Polokwane,South Africa,-23.860830,29.464608,Champion,2021-12-18
235,George Ngcobo,Male,63,Leicester,UK,52.661134,-1.159730,Dormant,2021-05-08
236,Tyler Carter,Male,31,Canberra,Australia,-35.293144,149.109319,Occasional,2023-06-08
237,Amelia Scott,Female,36,Polokwane,South Africa,-23.904874,29.458796,High Value,2023-11-06
238,Alexander Lewis,Male,55,Atlanta,USA,33.737859,-84.396702,At Risk,2024-05-24
239,Layla Lewis,Female,32,Birmingham,UK,52.438089,-1.853956,Loyal,2021-10-13
240,Ava Martin,Female,42,Philadelphia,USA,39.915270,-75.124685,New Customer,2022-03-23
241,Cooper Ntuli,Male,29,Birmingham,UK,52.527929,-1.920221,Occasional,2023-11-10
242,Mia Johnson,Female,18,Cardiff,UK,51.504724,-3.169186,Occasional,2024-07-07
243,Tshepo Harris,Male,39,Nelspruit,South Africa,-25.517115,30.988563,High Value,2024-03-20
244,Neha Roberts,Female,24,Sheffield,UK,53.409048,-1.441080,Champion,2022-12-09
245,Cooper Fraser,Male,65,Seattle,USA,47.648756,-122.325634,Dormant,2024-10-25
246,Caleb Zwane,Male,51,Bristol,UK,51.453918,-2.538768,Dormant,2021-08-15
247,Mia Khan,Female,41,London,UK,51.495673,-0.160348,Dormant,2022-09-11
248,Charlotte Walker,Female,31,Durban,South Africa,-29.898250,30.995325,Champion,2023-10-13
249,Tebogo Mthembu,Male,22,Manchester,UK,53.484772,-2.263179,At Risk,2022-03-17
250,Neha Masondo,Female,24,Seattle,USA,47.581514,-122.288117,High Value,2022-08-23
251,Amelia Clarke,Female,18,Denver,USA,39.785215,-105.029621,High Value,2023-03-15
252,Amelia Hlongwane,Female,19,Chicago,USA,41.905354,-87.602536,Occasional,2021-04-27
253,Sibongile Patel,Female,23,Philadelphia,USA,39.915062,-75.201970,Dormant,2023-03-28
254,Noah Harris,Male,34,Nelspruit,South Africa,-25.503556,30.955695,Loyal,2024-07-19
255,Sibongile Anderson,Female,52,Perth,Australia,-31.922761,115.816834,High Value,2023-06-19
256,George Wilson,Male,44,Manchester,UK,53.489649,-2.261234,Champion,2023-01-23
257,Amelia Thompson,Female,18,Seattle,USA,47.589448,-122.301485,High Value,2024-09-12
258,Mia Buthelezi,Female,59,Melbourne,Australia,-37.854254,144.918182,Occasional,2024-08-05
259,Khanyisile MacKenzie,Female,21,Rustenburg,South Africa,-25.693207,27.195456,Dormant,2023-08-12
260,Madison Wood,Female,54,Phoenix,USA,33.432909,-112.040723,Loyal,2024-04-17
261,Nokwanda Naidoo,Female,60,Philadelphia,USA,39.907910,-75.127765,Occasional,2023-12-16
262,Oliver Jackson,Male,63,East London,South Africa,-33.061764,27.873796,High Value,2022-07-13
263,Nora Adams,Female,65,Adelaide,Australia,-34.929750,138.590316,Occasional,2021-08-24
264,Emily Fraser,Female,26,Philadelphia,USA,39.959649,-75.136862,At Risk,2022-01-07
265,Chloe Mokoena,Female,31,Halifax,Canada,44.624603,-63.610363,Occasional,2023-12-08
266,Sandile Mkhize,Male,47,Phoenix,USA,33.457676,-112.111771,High Value,2021-07-22
267,Sandile Moore,Male,33,Rustenburg,South Africa,-25.686283,27.243176,Loyal,2021-05-03
268,Amelia Martinez,Female,58,Birmingham,UK,52.493292,-1.912873,Occasional,2022-05-11
269,James Campbell,Male,55,Halifax,Canada,44.681508,-63.624379,At Risk,2024-01-12
270,Liam Mahlangu,Male,58,Phoenix,USA,33.476126,-112.045525,Champion,2022-10-22
271,Evelyn Thomas,Female,35,Miami,USA,25.717970,-80.197278,Dormant,2022-12-06
272,Brittany MacKenzie,Female,52,Newcastle,UK,54.984359,-1.652882,Loyal,2021-05-14
273,Olivia Perez,Female,57,Rustenburg,South Africa,-25.668424,27.209400,High Value,2024-03-16
274,Thabo Cele,Male,49,Rustenburg,South Africa,-25.691288,27.211241,At Risk,2021-04-13
275,Jordan Nelson,Male,43,Sandton,South Africa,-26.085806,28.023492,Champion,2023-03-11
276,Grace Govender,Female,57,Dallas,USA,32.754040,-96.809147,At Risk,2022-07-15
277,Zanele Evans,Female,19,Rustenburg,South Africa,-25.678763,27.223999,At Risk,2023-05-09
278,Thandeka Nelson,Female,24,Sandton,South Africa,-26.140381,28.033136,Dormant,2023-10-16
279,Ravi Wood,Male,51,Gold Coast,Australia,-28.032249,153.441681,New Customer,2022-11-11
280,Grace Stewart,Female,36,Port Elizabeth,South Africa,-33.964220,25.595014,New Customer,2023-10-15
281,Hunter Hughes,Male,37,Johannesburg,South Africa,-26.196252,28.016585,New Customer,2021-09-14
282,Mia Zwane,Female,42,Montreal,Canada,45.488535,-73.519915,New Customer,2022-03-22
283,Brittany Williams,Female,51,Quebec City,Canada,46.855407,-71.246616,Champion,2023-08-17
284,Lily Clarke,Female,46,Calgary,Canada,51.058029,-114.029652,Dormant,2024-02-14
285,Sandile Phillips,Male,60,Nelspruit,South Africa,-25.465420,30.982204,Loyal,2024-01-13
286,Emily Mokoena,Female,18,Pretoria,South Africa,-25.780196,28.258449,Occasional,2024-04-18
287,Noah Hall,Male,59,Vancouver,Canada,49.322558,-123.093738,Loyal,2023-11-25
288,Brittany Lewis,Female,29,Seattle,USA,47.571169,-122.315297,Champion,2022-10-17
289,Mia Murray,Female,64,Edmonton,Canada,53.501250,-113.454293,Dormant,2022-07-13
290,George Khan,Male,64,Cairns,Australia,-16.878899,145.788672,Loyal,2022-04-16
291,Sophia Kunene,Female,41,Phoenix,USA,33.415399,-112.081968,New Customer,2022-06-08
292,Liam Robertson,Male,36,Sheffield,UK,53.337083,-1.424160,Occasional,2022-08-24
